rank,bracket,horse_num,sex_age,weight_constraint,jockey,odds,popularity,horse_weight,trainer,race_id,prev_rank,rest_days,weather,track,sire,bms,lineage,prev1_relative_last3f,prev2_relative_last3f,prev3_relative_last3f,prev1_passage_num,prev2_passage_num,prev3_passage_num,is_long_trip,is_stay,weight_delta,weight_ratio,sire_track_interaction
1.0,8.0,11.0,19,55.0,119,1.9,1.0,469.0,105,202344103111,1.0,90.0,3,2,155,321,12,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11727078641213676,325
1.0,1.0,1.0,11,52.0,156,8.7,5.0,488.0,198,202507030807,1.0,90.0,2,2,173,238,8,50.0,50.0,50.0,7.0,7.0,7.0,1,0,0.0,0.10655737486562757,368
1.0,7.0,13.0,13,52.0,212,123.0,13.0,476.0,313,202410030511,1.0,90.0,4,2,51,211,3,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.10924369518395599,89
1.0,8.0,18.0,13,56.0,120,7.4,4.0,480.0,227,202305030211,1.0,21.0,3,2,69,238,5,50.0,50.0,50.0,1.0,7.0,7.0,0,0,0.0,0.11666666423611116,132
1.0,5.0,10.0,12,54.0,170,3.9,2.0,444.0,181,202503030511,1.0,34.0,2,2,137,225,12,50.0,50.0,50.0,6.0,7.0,7.0,0,0,0.0,0.12162161888239598,287
1.0,1.0,1.0,23,56.0,211,4.6,3.0,528.0,317,202330060111,1.0,102.0,2,2,61,139,5,50.0,50.0,50.0,1.0,7.0,7.0,1,0,-3.0,0.1060606040518825,109
1.0,4.0,4.0,11,54.0,207,3.4,3.0,462.0,58,202330051804,1.0,90.0,2,2,61,303,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11688311435317934,109
1.0,5.0,9.0,20,56.0,180,19.6,8.0,466.0,330,202405050711,1.0,28.0,2,2,140,342,0,50.0,50.0,50.0,1.0,7.0,7.0,1,0,0.0,0.12017167124095127,294
1.0,8.0,12.0,22,55.0,64,17.9,7.0,478.0,299,202509030510,1.0,90.0,2,2,70,304,5,50.0,50.0,50.0,7.0,7.0,7.0,0,0,0.0,0.11506275909910546,136
1.0,3.0,4.0,20,56.0,153,2.0,1.0,523.0,21,202445031411,1.0,64.0,2,1,175,242,14,50.0,50.0,50.0,1.0,7.0,7.0,0,0,0.0,0.10707456774236009,373
