horse_id,sire,bms,lineage
2021102729,サンダースノー,エンパイアメーカー,Danzig系
2020110009,Justify,Deputy Minister,Bird系
2021100682,ブリックスアンドモルタル,ゴールドアリュール,Bird系
2021100294,キズナ,アフリート,Halo系
2019104311,バンブーエール,マンハッタンカフェ,Prospector系
2020105648,ハービンジャー,ゼンノロブロイ,Danzig系
2020105582,サトノクラウン,アグネスタキオン,Dancer系
2019100163,ホッコータルマエ,チーフベアハート,Native系
2021103199,マジェスティックウォリアー,ネオユニヴァース,Slew系
2019101648,シニスターミニスター,エンパイアメーカー,Slew系
2021105387,ドレフォン,タートルボウル,Bird系
2020103307,ロードカナロア,ハーツクライ,Prospector系
2020100145,ロードカナロア,ダイワメジャー,Prospector系
2019103529,マジェスティックウォリアー,フジキセキ,Slew系
2020101599,ドレフォン,アフリート,Bird系
2019102238,フリオーソ,スペシャルウィーク,Roberto系
2020103661,ルーラーシップ,スペシャルウィーク,Prospector系
2018105164,キングカメハメハ,Bertolini,Prospector系
2020103148,エスケンデレヤ,フジキセキ,Bird系
2020100484,コパノリッキー,コロナドズクエスト,Halo系
2019106575,ゼンノロブロイ,Distorted Humor,Halo系
2017106084,ダンカーク,ゼンノロブロイ,Prospector系
2019105967,ディスクリートキャット,サウスヴィグラス,Bird系
2019105079,ダイワメジャー,Sunriver,Halo系
2019102979,エイシンヒカリ,Barathea,Halo系
2020103276,モーリス,ダイワメジャー,Roberto系
2017101719,ヘニーヒューズ,スペシャルウィーク,Bird系
2019101507,ドゥラメンテ,Unbridled's Song,Prospector系
2019101614,キタサンブラック,Giant's Causeway,Halo系
2021110022,Golden Horn,Halling,Danzig系
2018105731,フェノーメノ,Deputy Minister,Halo系
2019104983,ハーツクライ,Orpen,Halo系
2018103677,キズナ,Singspiel,Halo系
2019100788,ゴールドシップ,ロージズインメイ,Halo系
2021104590,デクラレーションオブウォー,アグネスタキオン,Danzig系
2018102196,トゥザワールド,スターリングローズ,Prospector系
2021100016,エイシンヒカリ,バチアー,Halo系
2022104751,モーリス,ディープインパクト,Roberto系
2022104588,モーリス,Galileo,Roberto系
2022106768,ダノンバラード,マツリダゴッホ,Halo系
2022110114,Complexity,Pulpit,Prospector系
2022104898,ブリックスアンドモルタル,キングカメハメハ,Bird系
2022102709,リオンディーズ,ハーツクライ,Prospector系
2022110056,Kingman,Dark Angel,Danzig系
2020100148,ロードカナロア,ディープインパクト,Prospector系
2020101607,キタサンブラック,キングカメハメハ,Halo系
2020105795,ゴールドシップ,スペシャルウィーク,Halo系
2019103588,オルフェーヴル,キングカメハメハ,Halo系
2021106752,サトノクラウン,ディープインパクト,Dancer系
2020103099,イスラボニータ,Galileo,Halo系
2020102660,ドゥラメンテ,My Golden Song,Prospector系
2020105655,キズナ,Cozzene,Halo系
2021105799,キタサンブラック,Blame,Halo系
2022105346,キズナ,Burning Roma,Halo系
2021100210,リアルスティール,Malibu Moon,Halo系
2019101629,ディープインパクト,Storm Cat,Halo系
2020105626,キズナ,Galileo,Halo系
2019105768,ベーカバド,ダンスインザダーク,Danzig系
2022105110,ハービンジャー,ダイワメジャー,Danzig系
2022105192,サトノダイヤモンド,キングカメハメハ,Halo系
2022104812,シスキン,マンハッタンカフェ,Prospector系
2022105071,キズナ,Pulpit,Halo系
2022105755,ミスターメロディ,クロフネ,Bird系
2022105326,サートゥルナーリア,ハーツクライ,Prospector系
2022105317,リアルインパクト,フジキセキ,Halo系
2022103754,キズナ,Distorted Humor,Halo系
2022100490,モズアスコット,アグネスデジタル,Wells系
2022105031,アドマイヤマーズ,Wildcat Heir,Halo系
2022105291,ロードカナロア,ディープインパクト,Prospector系
2022105718,モズアスコット,アグネスタキオン,Wells系
2022190001,Tapit,More Than Ready,Slew系
2022101250,オルフェーヴル,プリサイスエンド,Halo系
2022110069,Constitution,エスケンデレヤ,Slew系
2022104994,キズナ,Congrats,Halo系
2022103304,ロードカナロア,Into Mischief,Prospector系
2022106169,ヘニーヒューズ,ディープインパクト,Bird系
2023107089,ワールドプレミア,Giant's Causeway,Halo系
2023107345,フィエールマン,Dark Angel,Halo系
2023106400,リオンディーズ,マンハッタンカフェ,Prospector系
2023105223,ハービンジャー,ワークフォース,Danzig系
2023107278,コントレイル,Galileo,Halo系
2023105642,キズナ,Sea The Stars,Halo系
2023103752,サートゥルナーリア,オルフェーヴル,Prospector系
2023102807,サートゥルナーリア,ディープインパクト,Prospector系
2023105241,アルアイン,Siyouni,Halo系
2023107143,ドレフォン,ディープインパクト,Bird系
2023104676,リオンリオン,ハービンジャー,Prospector系
2023104885,コントレイル,Into Mischief,Halo系
2023102820,エピファネイア,リアルインパクト,Roberto系
2023105332,ハービンジャー,ハーツクライ,Danzig系
2023106694,シルバーステート,Giant's Causeway,Halo系
2023102039,ロジャーバローズ,アグネスデジタル,Halo系
2022106389,ストロングリターン,ゼンノロブロイ,Roberto系
2022104617,サトノクラウン,マンハッタンカフェ,Dancer系
2022100642,サートゥルナーリア,ディープインパクト,Prospector系
2022100404,サートゥルナーリア,マンハッタンカフェ,Prospector系
2022106999,ホークビル,ダイワメジャー,Wells系
2022104398,デクラレーションオブウォー,フジキセキ,Danzig系
2022104960,シュヴァルグラン,ロードカナロア,Halo系
2022106996,ゴールドシップ,Wilburn,Halo系
2022100403,レイデオロ,ヴィクトワールピサ,Prospector系
2022106637,キンシャサノキセキ,Galileo,Halo系
2022104920,ビッグアーサー,フジキセキ,unknown
2018104638,ジャスタウェイ,High Chaparral,Halo系
2021105829,キズナ,Not For Sale,Halo系
2021104324,ディーマジェスティ,ファスリエフ,Halo系
2019105168,ハーツクライ,Candy Stripes,Halo系
2019104447,キングカメハメハ,ディープインパクト,Prospector系
2021104855,ルーラーシップ,ステイゴールド,Prospector系
2020105798,ゴールドシップ,Linamix,Halo系
2019104658,ハーツクライ,Platini,Halo系
2020100254,ネロ,コンデュイット,Bird系
2019100109,ディープインパクト,クロフネ,Halo系
2019104909,スクリーンヒーロー,Layman,Roberto系
2019105552,ハービンジャー,キングカメハメハ,Danzig系
2020100976,ジャスタウェイ,アドマイヤムーン,Halo系
2020103439,ハーツクライ,Dalakhani,Halo系
2018101660,ルーラーシップ,アグネスタキオン,Prospector系
2019104091,ゴールドシップ,パイロ,Halo系
2019105239,ディープインパクト,Mineshaft,Halo系
2019103586,ドゥラメンテ,シンボリクリスエス,Prospector系
2018103528,スマートファルコン,アグネスデジタル,Halo系
2017100376,ハーツクライ,Awesome Again,Halo系
2020101547,ロードカナロア,Curlin,Prospector系
2020102375,フェノーメノ,Footstepsinthesand,Halo系
2019101554,コパノリッキー,フレンチデピュティ,Halo系
2020100733,ドレフォン,クロフネ,Bird系
2016106263,ディープブリランテ,ボストンハーバー,Halo系
2019103542,ジョーカプチーノ,ロージズインメイ,Halo系
2017104137,ヘニーヒューズ,キングカメハメハ,Bird系
2016102177,ロードカナロア,フジキセキ,Prospector系
2019101975,ミッキーアイル,クロフネ,Halo系
2019104564,リーチザクラウン,ワークフォース,Halo系
2020100930,シニスターミニスター,ハーツクライ,Slew系
2020100811,カレンブラックヒル,シンボリクリスエス,Halo系
2020101307,フリオーソ,シンボリクリスエス,Roberto系
2019103971,アメリカンペイトリオット,オレハマッテルゼ,Danzig系
2017106302,ヨハネスブルグ,エンパイアメーカー,Bird系
2021100913,キズナ,シンボリクリスエス,Halo系
2022105099,キズナ,High Chaparral,Halo系
2022105073,キタサンブラック,ジェネラス,Halo系
2020103101,ハーツクライ,Sri Pekan,Halo系
2021105541,ハーツクライ,Lomitas,Halo系
2020105633,キズナ,Curlin,Halo系
2018105012,ディープインパクト,フレンチデピュティ,Halo系
2021105521,ルーラーシップ,ステイゴールド,Prospector系
2020103025,デクラレーションオブウォー,キングカメハメハ,Danzig系
2019100792,スクリーンヒーロー,ムタファーウエク,Roberto系
2017103000,ナカヤマフェスタ,タイキシャトル,Halo系
2021105700,error,error,error
2020100761,error,error,error
2022101521,error,error,error
2019102948,error,error,error
2020100655,error,error,error
2018105013,error,error,error
2020103875,error,error,error
2018103308,error,error,error
2019106330,error,error,error
2020105611,error,error,error
2021100361,error,error,error
2019104010,ワールドエース,サウスヴィグラス,Halo系
2018100752,エイシンフラッシュ,ステイゴールド,Prospector系
2022105467,マインドユアビスケッツ,シンボリクリスエス,Minister系
2020100909,ジャスタウェイ,シンボリクリスエス,Halo系
2021101436,ブラックタイド,キングカメハメハ,Halo系
2021105119,ロードカナロア,サクラバクシンオー,Prospector系
2019104556,ルーラーシップ,ゼンノロブロイ,Prospector系
2021100953,ドレフォン,ヴィクトワールピサ,Bird系
2020100680,ディープブリランテ,ブライアンズタイム,Halo系
2021105283,ロゴタイプ,ジャングルポケット,Wells系
2020103521,ジャスタウェイ,メイショウサムソン,Halo系
2018106318,ワールドエース,アドマイヤコジーン,Halo系
2020103043,ジャスタウェイ,コロナドズクエスト,Halo系
2021110133,Khozan,Marciano,Prospector系
2020100806,ホッコータルマエ,マンハッタンカフェ,Prospector系
2021101259,ドレフォン,アサクサキングス,Bird系
2021100229,コパノリッキー,コマンダーインチーフ,Halo系
2018106571,ホッコータルマエ,シニスターミニスター,Prospector系
2021107001,ホッコータルマエ,Tiznow,Prospector系
2021106894,ビーチパトロール,ジャングルポケット,Prospector系
2018105952,トーセンジョーダン,ディープインパクト,unknown
2018103266,トゥザグローリー,With Approval,Prospector系
2022106358,ヘニーヒューズ,コロナドズクエスト,Bird系
2020101850,タリスマニック,ディープスカイ,Wells系
2017101928,キングカメハメハ,テレグノシス,Prospector系
2019106293,キンシャサノキセキ,Dylan Thomas,Halo系
2019105394,クロフネ,キングカメハメハ,Minister系
2019101633,モーリス,タイキシャトル,Roberto系
2021103868,リアルスティール,Into Mischief,Halo系
2016104163,カジノドライヴ,ベストタイアップ,Slew系
2020100829,コパノリッキー,アグネスデジタル,Halo系
2021104965,パイロ,ワイルドラッシュ,Slew系
2017100352,ゴールドアリュール,ブライアンズタイム,Halo系
2018106348,ホッコータルマエ,ネオユニヴァース,Native系
2018106247,アジアエクスプレス,ブライアンズタイム,Bird系
2019110009,Ghostzapper,Medaglia d'Oro,Minister系
2019103422,レッドスパーダ,アドマイヤコジーン,Halo系
2018104475,ディープインパクト,Bellamy Road,Halo系
2021105560,レイデオロ,マンハッタンカフェ,Prospector系
2020103945,ゴールドシップ,コンデュイット,Halo系
2021105369,レイデオロ,ハーツクライ,Prospector系
2021105195,キズナ,Zensational,Halo系
2019105252,モーリス,ディープインパクト,Roberto系
2020103060,キタサンブラック,フレンチデピュティ,Halo系
2020103650,ドゥラメンテ,More Than Ready,Prospector系
2021105104,キズナ,Scat Daddy,Halo系
2020103082,グランデッツァ,キングカメハメハ,Halo系
2020102870,ドゥラメンテ,Elusive City,Prospector系
2021106449,スワーヴリチャード,Bernardini,Halo系
2019101847,オルフェーヴル,アフリート,Halo系
2019105312,ドレフォン,ディープインパクト,Bird系
2022105170,ニューイヤーズデイ,スマートファルコン,Prospector系
2022106498,ディーマジェスティ,Street Cry,Halo系
2022104633,ヘニーヒューズ,アグネスタキオン,Bird系
2022107209,サンダースノー,シニスターミニスター,Danzig系
2022106963,モーニン,ゴールドアリュール,Bird系
2022101416,シャンハイボビー,ネオユニヴァース,Bird系
2022103981,ナムラタイタン,サイレントディール,Prospector系
2022100078,ディーマジェスティ,キングカメハメハ,Halo系
2022106089,アメリカンペイトリオット,ストロングリターン,Danzig系
2022104444,アジアエクスプレス,スズカマンボ,Bird系
2022100824,アメリカンペイトリオット,マイネルラヴ,Danzig系
2022106190,シルバーステート,スエヒロコマンダー,Halo系
2022101918,カリフォルニアクローム,シンボリクリスエス,Slew系
2018100916,エスポワールシチー,ウォーニング,Halo系
2019102101,シニスターミニスター,サウスヴィグラス,Slew系
2016102370,オルフェーヴル,フレンチデピュティ,Halo系
2018106183,アジアエクスプレス,メイショウオウドウ,Bird系
2018103065,トビーズコーナー,フジキセキ,Danzig系
2021104876,ニューイヤーズデイ,シンボリクリスエス,Prospector系
2018106780,ノボジャック,ムーンバラッド,Minister系
2016105772,ロードカナロア,タイキシャトル,Prospector系
2019105028,キズナ,Galileo,Halo系
2020103616,リアルスティール,クロフネ,Halo系
2019104768,Gun Runner,Seattle Fitz,Prospector系
2021100646,キズナ,キングカメハメハ,Halo系
2023103444,エピファネイア,Motivator,Roberto系
2023104523,モーリス,ダイワメジャー,Roberto系
2023106900,インディチャンプ,Azamour,Halo系
2023100797,ジョーカプチーノ,スウェプトオーヴァーボード,Halo系
2023107191,モーリス,キングカメハメハ,Roberto系
2023100917,レイデオロ,Equal Stripes,Prospector系
2023105820,ポエティックフレア,ディープインパクト,Wells系
2023102906,コントレイル,War Front,Halo系
2023106457,ゴールドシップ,レッドスパーダ,Halo系
2023103472,サトノアラジン,ルーラーシップ,Halo系
2023107053,ロードカナロア,Hinchinbrook,Prospector系
2023101449,リアルスティール,スクリーンヒーロー,Halo系
2023103480,イスラボニータ,スクリーンヒーロー,Halo系
2023107241,キズナ,Lizard Island,Halo系
2023107251,リアルスティール,Pulpit,Halo系
2023102996,リオンディーズ,ハーツクライ,Prospector系
2023107183,キタサンブラック,Freud,Halo系
2023105277,シスキン,ハービンジャー,Prospector系
2023107069,サートゥルナーリア,First Dude,Prospector系
2023103678,エピファネイア,キングカメハメハ,Roberto系
2023101405,アドマイヤマーズ,フレンチデピュティ,Halo系
2023103101,ヘンリーバローズ,チチカステナンゴ,Halo系
2023100504,フォーウィールドライブ,ウォーエンブレム,Prospector系
2023103171,ディーマジェスティ,タイキシャトル,Halo系
2023101577,ドレフォン,ディープインパクト,Bird系
2023103782,イスラボニータ,Liaison,Halo系
2022105778,ロードカナロア,フレンチデピュティ,Prospector系
2022105435,レイデオロ,Kendargent,Prospector系
2022101686,アドマイヤムーン,Hard Spun,Prospector系
2022110077,Too Darn Hot,Invincible Spirit,Prospector系
2022105429,レッドファルクス,フジキセキ,Prospector系
2022102434,アドマイヤマーズ,カジノドライヴ,Halo系
2022104956,ロードカナロア,シンボリクリスエス,Prospector系
2022106666,ロードカナロア,サクラバクシンオー,Prospector系
2022101432,レイデオロ,サンデーサイレンス,Prospector系
2022102939,リアルスティール,ヨハネスブルグ,Halo系
2022103060,ロゴタイプ,Cape Cross,Wells系
2018105448,キングカメハメハ,キングヘイロー,Prospector系
2018100830,マジェスティックウォリアー,アグネスタキオン,Slew系
2020106370,ビーチパトロール,ゴールドアリュール,Prospector系
2018105088,キングカメハメハ,Awesome Again,Prospector系
2017104390,トーセンブライト,アグネスタキオン,Roberto系
2017100504,スズカコーズウェイ,ジェイドロバリー,Bird系
2017110070,オナーコード,Silver Ghost,Slew系
2019102158,プリサイスエンド,マンハッタンカフェ,Native系
2015105419,アイルハヴアナザー,メイショウオウドウ,Native系
2020102941,エピファネイア,サクラバクシンオー,Roberto系
2018110015,Lemon Drop Kid,Giant's Causeway,Prospector系
2018106084,キングカメハメハ,マンハッタンカフェ,Prospector系
2017102011,メイショウボーラー,サンデーサイレンス,Halo系
2020104376,シニスターミニスター,ブライアンズタイム,Slew系
2018104462,ジョーカプチーノ,ブライアンズタイム,Halo系
2019103614,ダノンレジェンド,オレハマッテルゼ,Himyar系
2018100116,ストロングリターン,サンデーサイレンス,Roberto系
2016100212,ヘニーヒューズ,ハーツクライ,Bird系
2019102884,ミッキーアイル,A.P. Indy,Halo系
2019110040,New Approach,パイロ,Wells系
2017101896,Hard Spun,Shamardal,Danzig系
